company_name,website,country,vendor_role,robot_category,primary_robots,work_type,industries,commercial_maturity,us_availability,sales_model,notes,source,verification,vendor_type
Universal Robots,https://www.universal-robots.com,Denmark,robot_oem,cobots,UR3e/5e/10e/20,collaborative arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Doosan Robotics,https://www.doosanrobotics.com,South Korea,robot_oem,cobots,A/M/H series,cobots,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Techman Robot,https://www.tm-robot.com,Taiwan,robot_oem,cobots,TM AI Cobot,vision cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fanuc CRX,https://www.fanucamerica.com,Japan,robot_oem,cobots,CRX,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AUBO Robotics,https://www.aubo-robotics.com,China,robot_oem,cobots,i series,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
JAKA Robotics,https://www.jaka.com,China,robot_oem,cobots,Zu/Pro,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Elephant Robotics,https://www.elephantrobotics.com,China,robot_oem,cobots,myCobot,compact cobot,Education;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Dobot,https://www.dobot.cc,China,robot_oem,cobots,CR/MG400,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Elite Robots,https://www.eliterobots.com,China,robot_oem,cobots,EC series,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Han's Robot,https://www.hansrobot.net,China,robot_oem,cobots,Elfin,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Productive Robotics,https://www.productiverobotics.com,USA,robot_oem,cobots,OB7,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Neura Robotics,https://www.neura-robotics.com,Germany,robot_oem,cobots,MIRA/4NE1,cognitive cobot/humanoid,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Bota Systems sensing,https://www.botasys.com,Switzerland,component_supplier,cobots,force torque,cobot sensing,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
OnRobot,https://onrobot.com,Denmark,component_supplier,cobots,EOAT,cobot tooling,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
Robotiq,https://robotiq.com,Canada,component_supplier,cobots,grippers/FT,cobot tooling,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
Schunk cobot grippers,https://schunk.com,Germany,component_supplier,cobots,EOAT,grippers,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
Zimmer Group,https://www.zimmer-group.com,Germany,component_supplier,cobots,EOAT,grippers,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
ATI Industrial Automation,https://www.ati-ia.com,USA,component_supplier,cobots,FT sensors,tooling,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
Soft Robotics Inc,https://www.softroboticsinc.com,USA,component_supplier,cobots,mGrip,soft grippers,Food Service;Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
Weiss Robotics,https://www.weiss-robotics.com,Germany,component_supplier,cobots,grippers,EOAT,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,component_supplier
RH-AL-Robotics,https://www.rh-al.com,China,robot_oem,cobots,cobot,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Rokae,https://www.rokae.com,China,robot_oem,cobots,xMate,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Tuopu Robotics,https://www.tuopurobot.com,China,robot_oem,cobots,cobot,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Qjar Robotics,https://www.qjar.com,China,robot_oem,cobots,cobot,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fairino,https://www.fairino.com,China,robot_oem,cobots,FR series,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
HITBOT,https://www.hitbot.cc,China,robot_oem,cobots,Z-Arm,SCARA cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Standard Bots,https://standardbots.com,USA,robot_oem,cobots,RO1,cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Automata Technologies,https://automata.tech,UK,robot_oem,cobots,EVA,lab cobot,Lab Automation,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AgileX Cobot partners,https://www.agilex.ai,China,robot_oem,cobots,mobile cobot bases,mobile manip,Research,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mecademic,https://www.mecademic.com,Canada,robot_oem,cobots,Meca500,micro cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
RightHand Robotics,https://www.righthandrobotics.com,USA,robot_oem,picking_manipulation_palletizing,RightPick,piece picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Covariant,https://covariant.ai,USA,robot_oem,picking_manipulation_palletizing,RFM,AI picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Plus One Robotics,https://www.plusonerobotics.com,USA,robot_oem,picking_manipulation_palletizing,Yonder,parcel induction,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Ambi Robotics,https://www.ambirobotics.com,USA,robot_oem,picking_manipulation_palletizing,AmbiSort,sortation picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Osaro,https://www.osaro.com,USA,robot_oem,picking_manipulation_palletizing,Osaro Pick,piece picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Robust AI,https://www.robust.ai,USA,robot_oem,picking_manipulation_palletizing,Carter,mobile manipulation,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Pickle Robot,https://picklerobot.com,USA,robot_oem,picking_manipulation_palletizing,Pickle,truck unloading,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Dexterity,https://www.dexterity.ai,USA,robot_oem,picking_manipulation_palletizing,Dexterity platform,loading/unloading,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mujin,https://www.mujin-corp.com,Japan,robot_oem,picking_manipulation_palletizing,MujinController,palletizing,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Brightpick,https://www.brightpick.ai,USA,robot_oem,picking_manipulation_palletizing,Autopicker,autonomous picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Boston Dynamics Stretch,https://bostondynamics.com,USA,robot_oem,picking_manipulation_palletizing,Stretch,case unload,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
XYZ Robotics,https://www.xyzrobotics.ai,China,robot_oem,picking_manipulation_palletizing,picking cells,piece picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SSI Schaefer robotics,https://www.ssi-schaefer.com,Germany,robot_oem,picking_manipulation_palletizing,robotics cells,picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
TGW Robotics,https://www.tgw-group.com,Austria,robot_oem,picking_manipulation_palletizing,Rovolution,picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Knapp Open Shuttle / Pick-it-Easy,https://www.knapp.com,Austria,robot_oem,picking_manipulation_palletizing,Pick-it-Easy,picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Witron,https://www.witron.com,Germany,robot_oem,picking_manipulation_palletizing,OPM,warehouse automation,Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Honeywell Intelligrated robotics,https://www.honeywell.com,USA,robot_oem,picking_manipulation_palletizing,robotic UNNAX,unloading,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fortna robotics design,https://www.fortna.com,USA,system_integrator,picking_manipulation_palletizing,systems,warehouse robotics SI,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,system_integrator
Bastian Solutions robotics,https://www.bastiansolutions.com,USA,system_integrator,picking_manipulation_palletizing,robotic cells,integration,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,system_integrator
Invata Intralogistics,https://www.invata.com,USA,system_integrator,picking_manipulation_palletizing,robotic systems,integration,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,system_integrator
Numina Group,https://www.numinagroup.com,USA,system_integrator,picking_manipulation_palletizing,RDS,warehouse controls,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,system_integrator
Righthand / Onward Robotics,https://www.onwardrobotics.com,USA,robot_oem,picking_manipulation_palletizing,HearMe,collaborative picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Tompkins Robotics,https://www.tompkinsrobotics.com,USA,robot_oem,picking_manipulation_palletizing,t-Sort,sortation,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Megvii Robotics logistics,https://www.megvii.com,China,robot_oem,picking_manipulation_palletizing,warehouse robots,picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kuwaiti / Falcon Autotech,https://www.falconautotech.com,India,robot_oem,picking_manipulation_palletizing,sortation,sortation,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Agility Robotics,https://agilityrobotics.com,USA,robot_oem,humanoids_general_purpose,Digit,tote/material movement,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Figure AI,https://www.figure.ai,USA,robot_oem,humanoids_general_purpose,Figure 02,manufacturing/logistics,Manufacturing;Logistics,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Apptronik,https://apptronik.com,USA,robot_oem,humanoids_general_purpose,Apollo,manufacturing/logistics,Manufacturing,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Sanctuary AI,https://www.sanctuary.ai,Canada,robot_oem,humanoids_general_purpose,Phoenix,general manipulation,Manufacturing,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
1X Technologies,https://www.1x.tech,Norway,robot_oem,humanoids_general_purpose,NEO/EVE,general physical tasks,Manufacturing;Service,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Tesla Optimus,https://www.tesla.com,USA,robot_oem,humanoids_general_purpose,Optimus,manufacturing,Manufacturing,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Unitree,https://www.unitree.com,China,robot_oem,humanoids_general_purpose,G1/H1,general/research,Research;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
UBTECH,https://www.ubtrobot.com,China,robot_oem,humanoids_general_purpose,Walker/Walker S,industrial/service,Manufacturing;Service,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
AgiBot (Zhiyuan),https://agibot.com,China,robot_oem,humanoids_general_purpose,A/X/G,manufacturing/general,Manufacturing,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Fourier Intelligence,https://www.fftai.com,China,robot_oem,humanoids_general_purpose,GR series,humanoid,Healthcare;Research,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
EngineAI,https://www.engineai.com.cn,China,robot_oem,humanoids_general_purpose,SA01,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Kepler Exploration,https://www.kepler-exp.com,China,robot_oem,humanoids_general_purpose,Forerunner,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
LimX Dynamics,https://www.limxdynamics.com,China,robot_oem,humanoids_general_purpose,TRON/CL-1,humanoid/legged,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Booster Robotics,https://www.boosterobotics.com,China,robot_oem,humanoids_general_purpose,Booster T1,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Noetix Robotics,https://www.noetixrobotics.com,China,robot_oem,humanoids_general_purpose,Noetix,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Robotera,https://www.robotera.com,China,robot_oem,humanoids_general_purpose,Star1,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
PNDbotics,https://www.pndbotics.com,China,robot_oem,humanoids_general_purpose,Adam,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Leju Robotics,https://www.lejurobot.com,China,robot_oem,humanoids_general_purpose,Kuavo,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Stardust Intelligence,https://www.stardust-intelligence.com,China,robot_oem,humanoids_general_purpose,humanoid,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
High Torque Robotics,https://www.hightorque.cn,China,robot_oem,humanoids_general_purpose,humanoid actuators platforms,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Deep Robotics humanoid line,https://www.deeprobotics.cn,China,robot_oem,humanoids_general_purpose,humanoid R&D,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Xiaomi CyberOne,https://www.mi.com,China,robot_oem,humanoids_general_purpose,CyberOne,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
ByteDance robotics research,https://www.bytedance.com,China,robot_oem,humanoids_general_purpose,research humanoid,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Tencent Robotics X,https://www.tencent.com,China,robot_oem,humanoids_general_purpose,research platforms,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Huawei robotics research,https://www.huawei.com,China,robot_oem,humanoids_general_purpose,research,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Reflective / Reflex Robotics,https://www.reflexrobotics.com,USA,robot_oem,humanoids_general_purpose,Reflex,industrial humanoid,Manufacturing,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Humanoid (HMND),https://thehumanoid.ai,UK,robot_oem,humanoids_general_purpose,HMND 01 Alpha,industrial humanoid,Manufacturing,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Honda ASIMO legacy,https://global.honda,Japan,robot_oem,humanoids_general_purpose,ASIMO,research,Research,discontinued,yes,direct+distributor,,curated_oem_list,curated,oem
Toyota T-HR3 / human support,https://www.toyota.com,Japan,robot_oem,humanoids_general_purpose,T-HR3,research,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Kawada Nextage,https://www.kawada-robotics.com,Japan,robot_oem,humanoids_general_purpose,Nextage,dual-arm humanoid-like,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Waseda / partner humanoids,https://www.waseda.jp,Japan,robot_oem,humanoids_general_purpose,research,research,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Clone Robotics,https://www.clonerobotics.com,Poland,robot_oem,humanoids_general_purpose,android hands,humanoid components,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Galbot,https://www.galbot.com,China,robot_oem,humanoids_general_purpose,Galbot,mobile manip/humanoid,Logistics,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
MagicLab,https://www.magiclab.top,China,robot_oem,humanoids_general_purpose,humanoid,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Astribot,https://www.astribot.com,China,robot_oem,humanoids_general_purpose,S1,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Foundation Future Industries,https://www.ffi.com,USA,robot_oem,humanoids_general_purpose,humanoid research,humanoid,Research,prototype,yes,direct+distributor,,curated_oem_list,curated,oem
Avidbots,https://www.avidbots.com,Canada,robot_oem,cleaning_robots,Neo,floor scrubbing,Commercial Real Estate,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Brain Corp,https://www.braincorp.com,USA,robot_oem,cleaning_robots,BrainOS scrubbers,autonomous cleaning,Retail;CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Tennant,https://www.tennantco.com,USA,robot_oem,cleaning_robots,AMR scrubbers,industrial cleaning,Manufacturing;CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Nilfisk Liberty,https://www.nilfisk.com,Denmark,robot_oem,cleaning_robots,Liberty SC50,scrubbing,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kärcher KIRA,https://www.kaercher.com,Germany,robot_oem,cleaning_robots,KIRA B 50,scrubbing,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Pudu CC1,https://www.pudurobotics.com,China,robot_oem,cleaning_robots,CC1,cleaning,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Gausium,https://www.gausium.com,China,robot_oem,cleaning_robots,Phantas/Scrubber,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
LionsBot,https://www.lionsbot.com,Singapore,robot_oem,cleaning_robots,R3/Orex,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Gaussian Robotics,https://www.gaussianrobotics.com,China,robot_oem,cleaning_robots,scrubbers,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Diversey TASKI,https://diversey.com,USA,robot_oem,cleaning_robots,TASKI Intellibot,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
IceRobotics / cleaning partners,https://www.icerobotics.com,UK,robot_oem,cleaning_robots,agri sensors,specialty,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Cleanfix Robotics,https://www.cleanfix.com,USA,robot_oem,cleaning_robots,40-Series,restroom cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Peppermint Robotics,https://peppermint.ltd,India,robot_oem,cleaning_robots,Mitra/cleaners,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Solow Robotics,https://www.solowrobotics.com,India,robot_oem,cleaning_robots,cleaning,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Ecovacs commercial,https://www.ecovacs.com,China,robot_oem,cleaning_robots,commercial,cleaning,CRE,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Robomow / commercial outdoor,https://www.robomow.com,Israel,robot_oem,cleaning_robots,mowers,outdoor,Landscaping,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Husqvarna Automower commercial,https://www.husqvarna.com,Sweden,robot_oem,cleaning_robots,Automower,mowing,Landscaping,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Belrobotics,https://www.belrobotics.com,Belgium,robot_oem,cleaning_robots,Bigmow,sports turf,Sports,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
RC Mowers,https://www.rcmowers.com,USA,robot_oem,cleaning_robots,remote/auto mowers,mowing,Landscaping,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Scythe Robotics,https://www.scytherobotics.com,USA,robot_oem,cleaning_robots,M.52,commercial mowing,Landscaping,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Renu Robotics,https://www.renurobotics.com,USA,robot_oem,cleaning_robots,Renubot,solar farm vegetation,Energy,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Bear Robotics,https://www.bearrobotics.ai,USA,robot_oem,hospitality_foodservice_delivery,Servi,food delivery,Food Service;Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Keenon Robotics,https://www.keenon.com,China,robot_oem,hospitality_foodservice_delivery,T8/Peanut,delivery,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Relay Robotics,https://www.relayrobotics.com,USA,robot_oem,hospitality_foodservice_delivery,Relay,hotel delivery,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Savioke Relay,https://www.savioke.com,USA,robot_oem,hospitality_foodservice_delivery,Relay,hotel delivery,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Aethon TUG,https://www.aethon.com,USA,robot_oem,hospitality_foodservice_delivery,TUG,hospital delivery,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Diligent Robotics,https://www.diligentrobots.com,USA,robot_oem,hospitality_foodservice_delivery,Moxi,hospital assist,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Temi,https://www.robotemi.com,USA,robot_oem,hospitality_foodservice_delivery,Temi,telepresence service,Healthcare;Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Richtech Robotics,https://www.richtechrobotics.com,USA,robot_oem,hospitality_foodservice_delivery,ADAM/Matradee,bar/service,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Miso Robotics,https://misorobotics.com,USA,robot_oem,hospitality_foodservice_delivery,Flippy,kitchen automation,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hyphen,https://www.hyphenfoods.com,USA,robot_oem,hospitality_foodservice_delivery,Maker assembly,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Creator,https://www.creator.rest,USA,robot_oem,hospitality_foodservice_delivery,burger robot,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Spyce / Sweetgreen,https://www.sweetgreen.com,USA,robot_oem,hospitality_foodservice_delivery,kitchen automation,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Picnic,https://www.picnic.co,USA,robot_oem,hospitality_foodservice_delivery,pizza automation,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Nala Robotics,https://www.nalarobotics.com,USA,robot_oem,hospitality_foodservice_delivery,kitchen robots,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Pazzi,https://www.pazzi.tech,France,robot_oem,hospitality_foodservice_delivery,pizza robot,kitchen,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Oracle / MICROS kitchen partners,https://www.oracle.com,USA,robot_oem,hospitality_foodservice_delivery,kitchen display partners,kitchen ops,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Starship Technologies indoor,https://www.starship.xyz,Estonia,robot_oem,hospitality_foodservice_delivery,delivery robots,campus delivery,Education,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Serve Robotics,https://www.serverobotics.com,USA,robot_oem,hospitality_foodservice_delivery,sidewalk delivery,delivery,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Coco Delivery,https://cocodelivery.com,USA,robot_oem,hospitality_foodservice_delivery,sidewalk robots,delivery,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kiwibot,https://www.kiwibot.com,Colombia,robot_oem,hospitality_foodservice_delivery,campus delivery,delivery,Education,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Refraction AI,https://www.refraction.ai,USA,robot_oem,hospitality_foodservice_delivery,last-meter,delivery,Food Service,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SoftBank Robotics America hospitality,https://us.softbankrobotics.com,USA,robot_oem,hospitality_foodservice_delivery,Whiz/Pepper,service,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
LG CLOi ServeBot,https://www.lg.com,South Korea,robot_oem,hospitality_foodservice_delivery,CLOi,service delivery,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Samsung Bot Care / service,https://www.samsung.com,South Korea,robot_oem,hospitality_foodservice_delivery,Bot Care,service,Hospitality,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
ANYbotics,https://www.anybotics.com,Switzerland,robot_oem,inspection_security_quadrupeds,ANYmal,industrial inspection,Energy;Oil & Gas,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Ghost Robotics,https://www.ghostrobotics.io,USA,robot_oem,inspection_security_quadrupeds,Vision 60,security/defense,Defense,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Exyn Technologies,https://www.exyn.com,USA,robot_oem,inspection_security_quadrupeds,ExynAero,aerial inspection,Mining,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Flyability,https://www.flyability.com,Switzerland,robot_oem,inspection_security_quadrupeds,Elios,confined aerial,Energy,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Skydio,https://www.skydio.com,USA,robot_oem,inspection_security_quadrupeds,X10,inspection drones,Energy;Defense,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Percepto,https://percepto.co,Israel,robot_oem,inspection_security_quadrupeds,AIM,autonomous drones,Energy,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Dedrone / Axon,https://www.dedrone.com,USA,robot_oem,inspection_security_quadrupeds,airspace security,security,Security,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Knightscope,https://www.knightscope.com,USA,robot_oem,inspection_security_quadrupeds,K5/K1,security robots,Security,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SMP Robotics,https://smprobotics.com,USA,robot_oem,inspection_security_quadrupeds,security robots,security,Security,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Cobalt Robotics,https://www.cobaltrobotics.com,USA,robot_oem,inspection_security_quadrupeds,Cobalt,indoor security,Security,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Asylon Robotics,https://www.asylonrobotics.com,USA,robot_oem,inspection_security_quadrupeds,DroneSentry,perimeter security,Security,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Sarcos / Guardian,https://www.sarcos.com,USA,robot_oem,inspection_security_quadrupeds,Guardian,teleop inspection,Industrial,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Energid / Hexagon inspection,https://hexagon.com,Sweden,robot_oem,inspection_security_quadrupeds,inspection systems,inspection,Industrial,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
John Deere autonomous,https://www.deere.com,USA,robot_oem,agriculture,autonomous tractor,field autonomy,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
CNH Industrial Raven / Case,https://www.cnhindustrial.com,Netherlands,robot_oem,agriculture,Raven Autonomy,ag autonomy,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AGCO Fendt,https://www.agcocorp.com,USA,robot_oem,agriculture,Fendt Guide,precision ag,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Naïo Technologies,https://www.naio-technologies.com,France,robot_oem,agriculture,Oz/Dino,weeding robots,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
FarmWise,https://www.farmwise.io,USA,robot_oem,agriculture,Titan,weeding,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Carbon Robotics,https://carbonrobotics.com,USA,robot_oem,agriculture,LaserWeeder,laser weeding,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Iron Ox,https://ironox.com,USA,robot_oem,agriculture,greenhouse robots,indoor ag,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Plenty,https://www.plenty.ag,USA,robot_oem,agriculture,vertical farm automation,indoor ag,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AppHarvest automation,https://www.appharvest.com,USA,robot_oem,agriculture,greenhouse,indoor ag,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Harvest CROO,https://harvestcroorobotics.com,USA,robot_oem,agriculture,strawberry robot,harvesting,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Advanced Farm Technologies,https://www.advanced.farm,USA,robot_oem,agriculture,apple harvester,harvesting,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Tortuga AgTech,https://www.tortugaagtech.com,USA,robot_oem,agriculture,berry robots,harvesting,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
FFRobotics,https://www.ffrobotics.com,Israel,robot_oem,agriculture,apple harvester,harvesting,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Tevel Aerobotics,https://www.tevel-tech.com,Israel,robot_oem,agriculture,flying harvesters,harvesting,Agriculture,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
